month,log_biomasa,post_2011,fuente,sst,sst_anom,uwnd_ms,vwnd_ms,onshore_cozumel_ms,sst_anom_lag1
2023-12,1.77829701697911,1,mendeley,27.47,0.23000000000000043,-2.78,-2.57,-3.75,0.14666666666666828
2024-01,1.8666634522126053,1,mendeley,26.47,0.05428571428571516,-3.29,-0.78,-2.85,0.23000000000000043
2024-02,1.924052611000099,1,mendeley,25.97,-0.041428571428571814,-1.96,-0.88,-1.99,0.05428571428571516
2025-03,-1.242190550485476,1,semar,26.82,0.4214285714285744,-3.77,-0.29,-2.84,-0.041428571428571814
2025-04,-0.8363134086458271,1,semar,26.82,-0.20428571428571374,-4.56,-0.71,-3.69,0.4214285714285744
2025-05,-0.5706994840369148,1,semar,28.09,-0.08000000000000185,-3.91,1.22,-1.88,-0.20428571428571374
2025-06,-0.5711127486867438,1,semar,29.08,0.18499999999999872,-4.48,0.61,-2.7,-0.08000000000000185
2025-07,-0.30662434859617493,1,semar,29.32,-0.129999999999999,-3.59,-0.73,-3.03,0.18499999999999872
2025-08,-2.1500700271972963,1,semar,30.18,0.24499999999999744,-2.37,-0.54,-2.04,-0.129999999999999
2025-09,-2.966037538804116,1,semar,30.25,0.23333333333333428,-1.65,-0.54,-1.53,0.24499999999999744
2025-10,-5.005349140457838,1,semar,29.84,0.39000000000000057,-1.51,-2.14,-2.56,0.23333333333333428
2025-11,-3.9442362761559098,1,semar,28.51,0.21666666666666856,-3.29,-2.6,-4.12,0.39000000000000057
2025-12,-2.7985549291071496,1,semar,27.59,0.3500000000000014,-3.44,-2.33,-4.04,0.21666666666666856
2026-01,-2.0461924617508904,1,semar,26.6,0.18428571428571772,-2.67,-2.99,-3.96,0.3500000000000014
2026-02,-1.3788620453322138,1,semar,25.58,-0.4314285714285724,-3.11,-1.93,-3.53,0.18428571428571772
2026-03,-1.6889357631524833,1,semar,26.29,-0.10857142857142676,,,,-0.4314285714285724
2026-04,-1.1226601310924467,1,semar,26.84,-0.18428571428571416,,,,-0.10857142857142676
2026-05,-0.6644022997538669,1,semar,,,,,,-0.18428571428571416
